"ft_barack_obama_pre","ft_barack_obama_post","ft_mitt_romney_pre","ft_mitt_romney_post","ft_joe_biden_pre","ft_joe_biden_post","ft_paul_ryan_pre","ft_paul_ryan_post","ft_gay"
85,90,65,60,50,70,50,50,85
75,80,50,40,60,60,40,40,85
0,30,75,100,0,0,90,85,95
85,90,20,20,80,70,NA,20,85
70,85,15,30,85,85,0,15,50
85,85,30,40,70,70,50,40,70
60,100,0,50,50,70,0,50,85
100,100,1,50,95,98,0,40,50
0,0,NA,50,NA,NA,NA,NA,0
100,100,50,50,100,100,NA,50,50
70,70,40,0,50,70,50,40,50
70,85,70,85,70,85,70,85,50
60,60,40,50,NA,50,NA,50,50
100,100,50,0,50,0,50,0,0
100,100,60,50,60,90,60,50,40
85,50,85,90,NA,50,NA,50,0
60,NA,30,NA,50,NA,NA,NA,NA
70,10,0,0,50,10,50,NA,10
70,85,50,50,60,60,40,50,0
0,0,85,70,70,30,NA,NA,30
100,100,80,80,80,90,60,50,60
60,100,40,50,NA,60,NA,50,50
100,100,60,0,70,7,60,7,5
100,100,50,100,85,1,50,NA,50
85,100,50,15,85,100,50,15,50
100,100,0,0,85,100,30,0,50
70,50,70,0,NA,50,NA,50,0
30,NA,60,NA,40,NA,60,NA,NA
85,85,50,50,60,85,50,50,NA
100,NA,40,NA,85,NA,40,NA,NA
60,NA,40,NA,50,NA,50,NA,NA
0,NA,60,NA,0,NA,85,NA,NA
0,NA,100,NA,0,NA,100,NA,NA
15,100,50,0,0,100,70,30,70
60,70,60,10,50,70,NA,30,50
85,70,40,40,85,70,30,30,50
40,45,50,70,50,50,50,50,50
60,40,40,85,85,20,50,80,50
0,0,50,90,50,NA,50,NA,50
15,85,85,15,50,50,85,100,0
60,100,40,25,40,15,NA,35,80
40,100,40,60,NA,60,NA,60,50
30,40,70,40,30,40,50,50,50
50,30,50,60,50,50,NA,50,0
100,50,0,0,60,40,NA,20,100
50,50,50,50,50,50,50,NA,50
75,NA,50,NA,50,NA,50,NA,NA
85,100,50,0,NA,NA,NA,NA,0
70,100,40,15,15,40,15,30,0
86,85,70,70,100,85,NA,85,100
45,60,80,65,40,50,75,55,25
30,85,30,50,15,70,0,50,50
85,85,15,15,50,50,NA,0,85
40,50,60,80,30,65,40,65,70
80,80,20,40,60,75,25,35,60
30,40,85,80,0,50,85,70,50
80,75,30,50,70,70,20,60,45
80,50,30,35,75,45,30,40,85
100,85,15,15,100,60,85,50,100
85,90,70,30,30,80,0,50,10
50,80,50,65,50,75,55,50,45
30,60,60,80,50,50,50,55,50
70,100,50,NA,70,100,50,NA,NA
40,50,10,80,40,50,10,80,55
100,50,85,80,NA,50,NA,70,20
80,50,30,90,75,50,30,80,25
40,70,40,60,30,65,30,50,65
60,50,70,50,60,50,50,70,50
75,80,30,40,70,70,30,40,50
0,0,100,100,0,0,100,85,40
70,70,60,40,50,60,40,70,40
85,NA,0,NA,70,NA,0,NA,NA
100,100,15,0,100,100,0,0,85
100,100,30,50,85,100,30,50,50
100,100,0,40,100,85,50,50,70
85,85,30,40,70,70,30,30,85
100,100,0,0,100,100,15,0,50
100,100,50,50,85,85,70,60,50
0,15,100,85,0,40,70,85,30
100,100,30,30,85,100,30,0,50
15,NA,85,NA,0,NA,85,NA,NA
85,70,30,30,50,60,30,40,50
85,85,30,30,85,70,15,15,70
0,0,70,60,NA,50,50,60,50
70,NA,40,NA,70,NA,15,NA,NA
60,70,40,40,30,60,50,30,75
85,100,15,15,30,40,40,50,85
100,85,30,0,85,85,NA,60,50
70,70,15,40,60,40,40,30,60
70,70,50,50,50,60,40,40,50
60,50,50,50,50,50,60,50,50
30,40,85,70,15,30,70,70,50
30,15,85,85,30,30,60,60,50
100,100,15,0,100,100,85,0,85
100,100,0,50,85,85,0,50,100
50,NA,50,NA,40,NA,60,NA,NA
100,NA,0,NA,NA,NA,40,NA,NA
70,70,0,60,NA,NA,50,50,60
85,85,50,NA,85,85,NA,NA,50
0,85,15,50,0,NA,15,NA,60
100,85,0,50,50,NA,50,NA,60
60,60,50,50,30,50,NA,NA,0
70,85,30,15,50,NA,40,NA,50
85,100,0,0,50,85,50,0,70
15,30,50,50,50,50,50,NA,50
70,70,50,50,65,50,57,50,50
75,70,45,15,60,70,20,40,70
85,70,15,50,50,50,NA,NA,30
85,85,70,70,70,85,NA,NA,50
70,70,15,50,15,50,15,NA,50
30,15,85,85,30,60,70,50,0
75,NA,50,NA,60,NA,0,NA,NA
70,70,50,60,NA,NA,NA,NA,70
100,100,15,40,60,95,15,60,50
85,85,50,40,50,60,NA,NA,50
85,85,70,15,50,50,50,50,60
0,15,0,15,0,15,2,NA,50
30,40,85,60,15,50,40,40,50
100,100,50,40,85,100,40,15,70
60,60,30,60,60,60,0,15,40
0,0,100,100,0,60,85,100,85
15,40,60,60,30,40,60,40,60
100,60,70,40,NA,50,NA,50,70
0,0,100,85,0,0,70,70,50
100,100,0,70,100,100,15,85,100
30,30,70,70,0,40,100,85,40
60,100,30,40,40,70,40,50,85
70,85,30,30,70,30,0,0,50
100,100,15,70,85,85,15,30,100
30,60,30,50,0,40,60,70,85
70,85,60,70,50,85,85,85,60
60,60,50,0,50,40,50,50,50
70,70,50,50,60,70,40,40,50
15,0,100,100,15,0,85,100,70
70,70,70,60,50,50,50,50,60
50,70,50,50,50,50,50,50,60
0,0,100,85,50,NA,100,NA,0
30,NA,60,NA,40,NA,70,NA,NA
40,15,100,100,30,15,100,100,0
70,30,40,60,85,60,50,60,50
0,15,60,60,0,15,70,85,85
70,NA,50,NA,50,NA,60,NA,NA
100,100,0,60,100,85,15,50,15
0,0,85,70,50,50,85,100,0
0,30,85,60,15,0,NA,50,30
30,100,50,15,15,85,70,30,0
0,0,85,40,0,15,70,60,15
50,50,NA,50,NA,NA,NA,NA,50
40,40,60,60,NA,50,70,60,50
60,60,30,50,50,50,50,60,50
0,15,85,70,50,50,40,40,0
45,50,60,55,40,48,NA,54,60
0,NA,85,NA,0,NA,85,NA,NA
85,100,0,15,100,15,0,15,60
30,30,70,70,30,30,50,40,15
0,0,100,85,0,15,85,100,40
15,0,85,85,15,0,85,85,50
70,70,50,60,60,85,70,70,0
60,70,30,30,50,60,NA,NA,40
60,60,70,70,70,70,60,NA,15
100,100,40,40,70,50,50,NA,50
85,70,0,30,85,70,NA,50,50
100,100,50,50,NA,50,50,50,50
85,70,50,50,NA,NA,NA,NA,60
40,15,100,85,50,50,100,100,50
30,40,60,70,30,50,50,50,50
60,60,0,0,0,40,0,NA,40
60,85,60,40,85,100,50,50,50
30,40,85,70,40,30,100,85,100
70,70,15,50,40,60,0,0,40
60,40,50,85,85,85,15,60,50
30,60,70,60,15,30,50,50,70
0,0,100,100,0,0,100,100,50
70,70,40,50,70,70,70,60,15
70,85,50,70,NA,NA,NA,NA,70
85,95,0,15,70,80,15,0,100
100,100,0,0,50,85,NA,NA,85
100,100,30,50,85,100,50,50,60
85,85,50,30,85,70,50,30,50
15,15,70,85,0,0,85,90,60
60,40,40,60,50,50,50,NA,50
50,50,60,60,50,60,50,60,0
0,30,60,60,30,50,60,60,50
70,NA,50,NA,50,NA,NA,NA,NA
50,60,50,50,50,NA,NA,NA,50
100,100,50,40,100,100,85,40,0
100,100,0,0,100,100,NA,0,0
70,50,50,50,50,50,50,50,50
100,100,0,0,100,100,0,0,100
100,100,15,100,50,100,15,50,100
70,85,50,50,60,85,50,40,85
0,15,85,85,0,0,85,50,0
40,30,85,100,40,40,70,70,50
40,30,70,85,15,15,60,70,40
70,70,15,40,50,50,15,50,85
50,50,85,100,60,85,50,70,50
15,20,85,100,40,25,70,75,98
30,30,85,85,40,30,60,70,50
100,100,15,30,85,85,0,15,85
100,100,15,15,85,70,NA,15,15
100,100,50,0,100,100,50,0,50
85,85,60,50,NA,NA,0,60,50
100,100,40,50,100,100,50,50,100
100,100,15,30,85,85,0,60,60
100,100,0,0,100,100,0,0,100
50,85,50,50,50,70,50,NA,70
100,100,40,30,100,100,15,30,50
70,70,30,50,70,70,50,50,50
60,60,15,40,60,50,50,50,50
0,0,70,60,30,30,70,70,15
100,85,0,0,85,85,50,50,85
60,60,70,60,50,50,85,85,50
50,60,70,70,50,60,50,60,50
40,40,60,70,40,60,50,70,50
15,25,85,75,15,25,70,85,50
60,40,70,50,40,40,50,50,85
85,85,15,30,100,85,30,30,50
50,30,65,70,60,60,70,60,50
15,60,30,50,0,50,70,50,50
70,60,30,30,60,50,50,50,70
15,40,70,50,0,40,60,70,50
100,85,50,0,85,60,50,50,15
10,0,90,100,5,0,90,100,NA
0,0,100,100,40,NA,40,40,0
85,85,50,30,50,50,50,50,50
50,NA,NA,NA,50,NA,50,NA,NA
70,85,60,30,60,50,50,NA,30
70,100,60,50,60,40,50,50,40
100,100,50,70,0,NA,NA,NA,100
100,100,30,30,85,85,NA,30,50
85,100,60,0,60,100,50,15,40
100,100,15,0,100,100,0,0,60
40,40,70,60,85,85,60,70,50
15,15,40,70,15,15,60,60,85
60,60,70,70,70,70,60,50,85
70,70,30,50,50,NA,NA,NA,0
70,85,40,50,60,70,NA,50,60
85,NA,15,NA,30,NA,50,NA,NA
100,100,50,0,85,85,50,0,70
85,85,40,30,60,60,50,60,50
30,40,60,70,15,40,60,60,30
80,60,40,40,75,60,50,30,70
70,40,50,40,60,60,40,40,50
60,70,50,50,70,85,40,30,85
0,30,85,70,0,15,85,85,50
NA,80,NA,0,NA,50,NA,0,0
40,0,85,100,0,30,70,60,0
50,30,70,85,50,50,60,70,50
0,40,60,60,NA,50,NA,50,50
30,15,85,85,30,60,100,85,50
30,40,60,70,NA,NA,NA,NA,50
70,40,85,70,50,50,70,70,0
30,60,50,40,60,NA,70,70,0
85,85,30,50,NA,NA,NA,NA,85
85,100,40,30,85,85,30,30,15
15,30,100,70,15,0,70,70,0
100,60,60,40,30,40,70,60,70
50,50,50,50,50,50,50,NA,50
30,50,70,70,30,50,50,60,50
70,70,40,40,60,60,40,40,85
70,85,30,15,60,85,15,30,70
90,100,50,50,40,85,40,70,50
85,85,30,50,85,70,50,NA,NA
50,85,30,60,NA,NA,30,50,50
70,95,40,30,NA,50,NA,NA,50
40,40,60,60,40,50,50,50,85
85,85,0,0,100,100,0,0,50
85,85,30,60,70,85,15,50,50
30,NA,70,NA,NA,NA,NA,NA,NA
0,30,100,85,0,15,100,85,40
85,100,15,30,60,70,0,15,50
30,70,NA,0,NA,50,50,0,70
100,85,30,50,30,50,50,NA,85
0,0,50,0,NA,NA,NA,NA,85
70,70,15,30,70,70,15,15,70
100,85,15,0,100,100,15,0,NA
100,85,50,30,50,50,25,50,50
100,100,50,10,70,85,50,20,50
NA,90,NA,30,NA,NA,NA,NA,50
70,70,40,50,70,70,0,50,60
85,100,30,0,NA,100,NA,0,90
60,70,85,85,40,50,85,85,NA
0,0,85,100,15,15,85,60,50
85,100,0,15,70,85,15,30,70
40,40,0,15,NA,NA,NA,NA,85
40,30,70,70,15,30,85,85,70
15,40,70,60,15,30,85,85,50
0,15,75,70,50,60,60,60,30
70,85,0,40,50,70,NA,NA,40
30,30,60,60,15,30,40,30,60
0,0,70,70,15,15,70,85,50
85,85,40,60,85,70,70,60,70
70,90,70,90,70,100,40,70,90
100,100,0,0,100,100,0,0,NA
100,100,30,50,100,100,15,50,0
100,100,50,15,85,70,15,50,40
100,100,40,15,100,100,40,15,70
70,70,15,40,40,NA,NA,40,50
0,0,60,60,0,0,NA,50,0
70,85,60,85,NA,NA,40,NA,60
100,100,0,0,50,100,NA,50,100
15,15,95,90,15,15,75,85,0
30,60,70,40,0,30,60,50,15
60,60,50,40,60,50,60,40,50
0,0,100,100,0,0,85,85,50
85,85,30,15,100,85,15,15,50
15,0,60,60,0,30,85,85,40
85,85,70,85,70,85,50,NA,85
100,100,40,30,100,100,15,50,85
100,100,0,50,100,100,0,0,50
100,100,0,40,30,100,50,30,100
30,30,70,70,30,50,40,60,100
100,100,30,30,70,70,50,NA,70
100,100,0,15,100,100,0,15,60
85,85,30,30,85,85,40,50,60
60,70,15,0,50,50,NA,50,70
15,40,NA,NA,NA,NA,NA,NA,100
85,100,40,50,85,85,30,40,50
60,50,50,50,50,50,50,50,0
85,70,60,50,70,85,50,50,40
70,70,40,60,50,60,50,50,70
85,100,NA,15,70,90,50,0,50
85,100,30,50,85,85,30,70,30
100,70,0,50,NA,60,50,50,50
100,100,15,30,100,100,30,15,85
85,100,15,40,70,100,50,50,85
85,100,15,50,70,100,50,50,50
100,100,15,40,85,85,NA,30,50
100,NA,30,NA,50,NA,NA,NA,NA
40,70,85,85,30,40,70,50,50
70,60,40,50,50,60,50,70,60
70,70,15,30,70,30,30,60,50
20,NA,20,NA,50,NA,NA,NA,NA
50,70,60,40,15,50,50,50,50
100,100,0,0,100,100,0,0,85
70,70,50,40,50,50,NA,15,50
15,70,100,100,15,30,100,85,85
70,70,15,30,NA,NA,NA,NA,85
100,100,0,30,NA,70,NA,NA,NA
70,85,30,40,NA,NA,NA,NA,50
100,100,30,40,40,70,50,50,50
100,100,30,50,100,100,30,50,100
0,0,70,85,30,60,70,85,0
99,100,50,30,85,85,40,40,50
100,100,30,30,100,100,50,NA,50
100,100,40,50,100,100,40,60,0
40,30,70,85,30,30,70,60,70
85,100,40,50,85,100,50,50,85
100,100,50,0,50,40,60,50,100
70,70,30,15,50,50,50,50,0
90,NA,15,NA,50,NA,60,NA,NA
40,70,60,60,50,60,70,85,100
70,85,40,60,50,60,55,60,70
100,100,50,30,100,100,40,50,50
60,100,0,50,0,50,0,50,75
100,100,0,0,90,NA,0,NA,0
100,100,50,50,100,50,50,50,50
85,85,30,30,70,85,NA,NA,100
40,50,40,40,50,70,30,50,50
60,60,50,40,30,15,40,50,50
100,100,0,0,70,50,0,50,50
85,85,40,60,60,70,0,40,60
100,100,50,0,85,100,50,0,70
70,70,30,30,NA,NA,NA,NA,60
60,70,30,50,50,60,50,50,60
100,90,20,15,60,75,10,30,80
15,0,70,50,30,30,85,50,50
0,50,0,50,0,50,0,50,100
15,50,60,60,15,50,60,50,50
70,70,40,30,60,70,40,30,70
100,100,50,0,50,85,NA,50,85
40,85,15,0,15,30,NA,0,40
0,NA,70,NA,30,NA,NA,NA,NA
70,90,0,0,70,90,15,10,100
75,100,25,0,75,100,25,0,10
100,100,0,0,85,NA,0,NA,100
0,NA,85,NA,15,NA,100,NA,NA
30,50,70,65,0,50,60,70,40
15,30,85,85,15,50,85,50,50
30,90,50,50,50,75,50,50,65
100,70,15,40,70,80,0,30,60
85,100,30,40,60,70,15,40,70
0,15,85,70,0,15,70,60,40
30,50,3,50,30,50,30,50,50
60,60,59,40,50,51,50,50,51
100,85,40,60,70,70,NA,60,0
0,60,100,100,70,70,NA,60,15
70,15,100,100,50,15,100,100,40
100,100,0,50,100,100,50,50,50
0,0,70,85,15,60,70,60,50
100,100,15,15,85,100,0,15,85
100,NA,15,NA,15,NA,15,NA,NA
100,100,70,70,70,60,NA,70,50
100,85,50,50,70,60,30,50,70
70,70,60,50,60,50,70,50,70
0,0,85,70,15,15,85,70,70
0,0,85,85,0,0,100,70,85
50,NA,40,NA,40,NA,NA,NA,NA
60,60,40,40,50,50,50,40,85
95,100,0,0,75,85,0,0,85
40,40,50,60,50,50,50,50,50
0,0,70,50,NA,NA,NA,NA,50
55,15,90,85,15,15,85,85,60
85,100,60,30,85,85,50,50,100
85,100,30,60,50,50,NA,NA,50
60,60,30,15,50,50,NA,NA,50
85,85,30,30,NA,70,NA,60,50
15,NA,85,NA,15,NA,70,NA,NA
85,85,50,30,NA,50,50,50,60
100,100,0,0,NA,100,NA,NA,60
100,100,0,0,85,100,15,0,50
70,85,30,0,85,50,0,0,85
70,85,15,50,30,50,50,30,50
100,100,0,0,85,90,50,0,70
50,60,50,60,50,60,NA,50,70
30,40,30,60,NA,60,NA,50,50
85,85,15,40,70,70,0,0,70
100,100,0,15,85,85,0,0,85
70,85,85,60,60,70,50,60,50
70,85,0,15,NA,NA,NA,NA,50
60,100,50,50,30,85,0,30,70
100,100,30,70,85,100,0,40,60
100,100,60,60,100,85,30,30,100
85,NA,15,NA,70,NA,40,NA,NA
30,40,30,70,15,40,50,60,50
100,100,60,30,100,100,60,60,70
60,70,60,50,70,85,40,40,60
60,70,70,70,50,60,70,70,70
60,60,30,40,40,50,40,40,50
70,100,0,15,70,85,0,50,40
40,40,0,40,30,60,NA,50,50
100,NA,0,NA,100,NA,0,NA,NA
85,100,70,0,70,70,85,70,40
65,65,72,65,50,60,90,95,65
70,55,60,95,55,75,75,80,0
60,60,40,40,50,60,30,40,NA
85,85,0,0,60,50,15,30,NA
60,70,30,15,50,50,40,40,70
30,50,85,85,30,60,70,85,50
85,100,40,30,85,85,40,15,50
70,70,15,50,100,85,0,0,50
15,50,0,30,50,60,50,40,70
60,40,50,50,50,50,50,NA,0
60,60,30,40,50,50,50,50,50
85,100,50,NA,NA,NA,NA,NA,100
85,70,50,50,70,60,50,55,50
70,70,55,50,50,60,50,50,20
100,100,0,0,NA,50,NA,50,100
75,80,50,50,NA,60,NA,40,0
30,50,85,85,30,50,70,70,50
85,50,50,80,85,50,50,70,50
15,55,70,80,15,50,85,55,55
70,50,60,50,50,NA,50,NA,50
70,90,40,100,NA,100,60,60,40
50,50,50,70,NA,50,NA,NA,50
15,0,60,50,50,50,50,NA,50
70,85,50,50,50,50,50,50,30
70,70,40,30,NA,60,50,NA,85
15,NA,60,NA,50,NA,NA,NA,NA
100,85,0,0,40,50,70,60,15
60,60,100,85,30,40,50,50,50
85,70,60,15,85,70,40,15,85
15,0,100,85,0,15,70,85,50
85,100,15,40,85,100,30,40,60
70,70,50,50,50,60,50,50,50
0,0,100,100,0,0,100,100,70
70,85,40,40,60,70,NA,50,60
85,85,40,30,50,60,50,50,85
70,60,50,40,50,50,40,30,70
100,100,50,60,85,100,NA,NA,85
85,100,0,0,50,50,50,NA,0
100,100,0,0,100,100,0,0,100
15,0,50,50,0,15,50,50,40
0,0,100,100,0,0,85,100,100
15,40,0,15,15,NA,0,0,100
100,100,40,15,70,NA,NA,NA,85
100,100,15,0,70,70,0,0,70
85,70,15,30,70,60,0,15,30
50,60,60,85,40,50,50,70,50
0,40,100,85,50,40,100,85,0
85,100,15,15,85,100,0,0,100
70,60,50,40,50,50,50,NA,50
30,60,60,60,50,50,50,60,70
30,40,85,100,15,70,70,85,60
60,70,40,40,40,40,50,50,100
60,70,85,85,50,70,85,85,85
100,100,0,40,100,100,0,30,60
70,70,70,70,60,100,50,0,70
60,60,15,30,65,60,0,30,85
15,40,85,70,50,60,60,50,0
85,100,30,40,50,85,NA,50,70
60,75,50,NA,50,40,40,NA,50
40,60,85,85,15,40,60,70,60
15,0,100,85,15,0,85,50,0
50,40,70,60,50,50,50,50,50
15,0,70,70,0,0,50,60,50
70,85,0,30,50,50,50,50,50
0,15,85,100,0,15,85,100,50
100,100,15,60,85,90,15,65,90
15,40,100,100,0,0,100,100,85
50,15,70,85,15,15,85,85,30
75,60,65,85,NA,85,NA,70,50
60,60,40,40,60,60,50,50,85
70,75,25,50,50,70,0,25,100
70,60,40,50,60,60,50,50,60
50,50,50,30,50,40,NA,60,70
20,3,85,85,0,25,65,75,50
30,0,70,100,15,0,85,85,30
70,85,15,30,70,60,30,30,85
70,85,30,30,70,85,40,40,70
70,60,60,70,60,70,0,15,50
40,40,60,50,50,30,85,60,50
100,100,0,0,85,0,0,0,0
85,85,60,85,35,70,60,NA,70
70,60,15,0,85,85,0,0,85
15,30,85,70,0,30,85,80,NA
60,60,70,60,50,60,50,50,60
0,50,70,85,0,50,70,50,15
60,70,70,40,40,60,40,50,70
15,15,85,85,0,0,85,85,0
85,85,50,30,NA,NA,NA,NA,50
50,40,70,60,50,40,60,60,60
70,70,0,15,60,85,0,15,40
60,85,30,15,NA,50,30,40,85
15,30,85,85,50,40,85,85,50
15,30,70,70,30,30,70,70,50
85,90,15,30,100,85,30,30,85
100,100,0,0,100,85,0,0,70
60,70,40,50,60,70,40,50,85
85,85,15,0,70,70,0,30,85
85,85,30,30,15,60,50,40,50
85,85,60,50,NA,NA,NA,NA,15
85,85,30,50,NA,NA,15,NA,85
90,85,3,30,85,100,20,30,85
40,60,30,40,30,40,0,0,85
85,85,50,50,85,85,60,60,0
85,NA,30,NA,85,NA,30,NA,NA
85,85,0,0,70,70,15,40,85
50,60,0,50,40,70,NA,50,NA
0,0,15,15,15,30,60,40,0
85,90,40,40,85,90,40,40,100
70,70,40,40,60,50,40,40,50
85,100,15,40,70,85,15,0,50
30,30,100,85,0,30,85,85,30
50,50,60,70,50,0,NA,40,50
100,85,30,30,50,70,NA,NA,70
70,70,50,30,15,40,50,50,50
100,100,15,50,85,85,NA,70,85
70,60,50,40,60,60,30,40,50
100,100,0,0,NA,50,NA,NA,50
0,0,100,100,0,0,100,100,50
100,100,50,50,85,85,50,60,0
85,85,50,50,85,70,0,NA,0
70,85,60,70,70,70,NA,50,70
85,100,15,15,70,85,50,50,85
100,100,0,0,100,100,0,0,50
40,70,80,70,30,60,70,70,70
100,100,30,50,50,50,30,60,50
0,40,70,70,50,50,60,30,30
60,85,NA,0,NA,NA,NA,NA,0
60,80,50,60,60,70,60,0,60
100,NA,50,NA,85,NA,50,NA,NA
100,100,15,30,70,70,0,40,50
40,40,100,100,40,40,100,100,50
60,60,50,40,50,50,50,50,0
100,100,50,50,NA,100,50,50,50
70,70,50,60,30,70,NA,50,40
100,50,0,0,100,50,100,0,0
0,50,50,50,0,15,50,70,60
50,60,85,70,60,60,70,70,70
85,50,0,50,100,90,0,30,100
90,85,0,30,50,60,50,60,0
70,70,0,15,NA,50,NA,50,50
85,85,30,30,70,70,60,60,50
30,30,60,85,40,50,50,40,100
85,85,40,50,70,50,60,60,40
50,60,30,30,NA,30,NA,15,15
70,70,30,30,50,60,15,15,85
50,NA,100,NA,85,NA,NA,NA,70
100,100,50,15,NA,60,NA,NA,50
30,30,40,30,50,50,50,50,50
100,100,0,60,100,70,0,60,60
85,85,60,40,85,85,40,30,60
85,70,40,40,70,70,40,40,70
100,100,0,50,85,50,0,60,85
100,100,0,0,85,100,0,0,0
60,0,NA,50,NA,50,NA,50,50
80,100,0,15,75,85,0,60,50
30,50,60,30,15,15,60,70,0
100,85,40,40,85,70,50,30,60
0,0,85,70,0,0,70,60,0
50,30,30,30,40,30,40,50,40
85,90,15,10,60,65,30,30,50
85,70,15,15,85,85,15,0,50
60,65,30,40,50,50,50,40,50
0,NA,90,NA,40,NA,85,NA,NA
80,85,40,40,80,85,15,65,70
50,51,50,50,50,50,50,NA,NA
0,0,70,60,0,0,90,85,50
100,100,40,40,100,100,50,50,85
89,85,50,50,85,85,50,50,80
80,75,0,0,70,75,0,0,80
0,0,85,95,2,0,85,95,0
65,23,45,43,43,43,45,75,0
70,NA,30,NA,60,NA,15,NA,NA
20,18,90,92,18,12,95,96,49
15,15,85,85,5,5,85,85,70
0,0,60,70,0,0,85,85,0
50,60,50,50,50,50,50,50,60
15,15,85,85,50,50,70,70,15
30,0,50,30,50,15,50,50,50
85,100,85,100,50,100,50,100,100
85,85,70,90,60,50,40,60,90
49,NA,60,NA,30,NA,50,NA,NA
0,0,70,80,0,0,85,70,50
85,85,30,30,70,80,15,15,85
100,100,0,0,85,100,0,0,75
100,100,0,0,85,100,0,0,80
40,50,70,70,30,50,50,50,50
100,100,0,0,70,90,50,0,50
70,60,15,10,80,85,10,15,70
60,40,80,60,30,40,50,50,50
100,100,15,0,100,100,0,30,50
30,50,85,80,30,45,85,55,50
60,55,40,40,60,55,50,50,60
85,85,15,15,85,85,15,40,50
60,60,60,65,50,60,70,100,0
60,60,85,80,40,60,70,70,20
40,40,85,85,50,15,50,85,50
40,45,40,40,40,55,60,45,50
100,100,40,15,60,70,30,30,50
100,50,50,50,45,50,10,50,0
60,40,50,50,50,60,50,60,40
100,85,60,60,90,100,0,0,100
30,30,70,85,0,15,70,60,50
0,10,100,100,0,10,100,100,50
15,1,60,70,50,0,50,50,10
70,70,30,30,60,60,15,0,50
60,60,40,50,50,40,50,60,90
50,60,70,50,50,60,60,50,30
70,85,30,40,100,100,30,0,0
85,100,40,50,70,100,50,50,50
85,85,30,30,85,85,50,20,70
0,0,80,50,0,0,80,50,0
15,0,85,80,15,0,100,90,50
0,0,100,100,0,0,70,85,15
0,28,85,45,0,2,85,45,25
85,85,35,25,80,80,25,15,50
100,100,20,0,100,100,20,0,15
0,0,90,90,30,15,85,90,0
85,85,35,30,95,90,40,30,75
85,80,85,85,85,90,90,99,50
85,85,50,50,50,85,50,50,85
85,90,0,0,70,75,0,0,100
100,100,0,0,100,100,0,0,50
100,100,0,0,100,100,0,0,NA
30,15,80,85,20,5,100,90,50
15,0,70,70,0,0,60,80,60
30,NA,60,NA,10,NA,75,NA,NA
85,85,30,30,85,70,30,30,70
10,30,85,85,5,25,10,50,10
15,0,70,70,50,50,70,70,50
15,NA,75,NA,10,NA,80,NA,NA
70,70,15,0,50,60,15,0,100
50,40,70,70,50,60,70,60,50
70,85,40,60,70,80,40,40,60
70,75,0,0,85,90,0,0,55
85,65,85,65,85,65,40,60,50
0,0,100,100,0,0,100,100,0
70,85,15,15,50,70,15,50,50
40,30,85,85,30,15,85,NA,30
70,65,0,0,90,85,0,0,80
60,60,70,60,40,50,100,80,60
15,10,75,70,30,0,85,88,100
70,79,30,20,60,68,15,15,65
99,95,0,10,99,90,0,5,95
0,NA,60,NA,15,NA,60,NA,NA
85,95,51,50,85,90,20,0,30
85,NA,50,NA,85,NA,0,NA,NA
75,65,0,0,60,60,50,55,100
75,70,45,50,65,70,55,60,30
15,5,85,75,5,10,86,50,45
30,40,100,100,60,50,85,85,50
85,85,15,10,85,80,0,0,100
6,2,10,59,50,11,49,49,48
0,NA,100,NA,15,NA,100,NA,NA
100,100,60,50,100,100,100,50,0
0,15,85,70,15,15,85,85,40
100,100,0,70,30,95,40,85,95
0,NA,90,NA,0,NA,99,NA,NA
55,50,75,75,45,40,80,75,50
65,58,15,15,55,50,20,30,75
85,85,50,50,70,75,60,40,70
90,85,0,0,85,85,0,0,60
50,15,70,100,50,0,70,85,50
32,10,45,40,35,10,45,30,100
85,100,0,0,85,85,0,0,50
40,15,85,70,0,0,70,85,15
77,85,70,40,66,75,65,50,40
85,85,30,25,70,85,0,0,45
15,0,70,70,30,40,85,85,0
70,40,40,60,15,20,60,50,60
70,60,15,0,60,70,50,0,100
15,30,60,0,0,0,60,50,50
75,70,70,70,70,85,55,60,50
0,0,100,100,60,0,100,0,50
70,70,0,0,70,70,0,0,50
34,4,0,2,0,2,9,3,100
75,75,10,15,80,75,10,0,15
40,40,60,85,50,15,60,60,50
70,75,30,10,30,85,0,20,50
50,33,50,50,50,20,50,50,50
50,70,15,30,60,85,0,0,0
0,0,85,85,0,15,75,70,50
30,30,60,65,15,25,60,65,60
85,90,30,35,50,65,15,20,50
11,15,88,85,11,20,77,85,33
70,60,50,55,50,50,50,30,75
0,0,100,100,0,0,100,100,0
85,85,15,30,85,85,15,15,50
85,100,15,30,70,90,0,0,30
85,100,0,0,100,100,0,0,50
100,85,15,15,85,75,0,10,75
60,80,100,100,70,65,85,87,100
85,85,30,15,70,70,15,0,70
15,30,85,90,0,60,70,60,30
15,0,85,60,15,15,85,70,15
0,0,50,50,0,0,60,70,85
0,0,85,100,0,15,85,100,70
85,85,40,45,70,80,50,50,80
30,30,60,60,15,30,50,50,15
85,100,15,15,85,85,15,15,0
70,80,40,47,70,75,45,45,50
0,0,85,100,50,100,70,50,50
50,30,95,85,50,50,90,85,85
68,47,68,52,50,52,43,30,15
75,70,5,5,50,60,5,5,80
100,100,0,0,100,100,0,0,0
40,30,50,50,15,15,15,15,1
50,65,0,30,30,NA,0,NA,90
5,15,100,85,30,0,95,90,15
